Èas vstupu rolky; Cie¾ (S1, S2, S3)
6. 10. 2013 21:36:56;2
6. 10. 2013 16:59:40;1
6. 10. 2013 17:09:57;1
6. 10. 2013 17:20:26;1
6. 10. 2013 21:50:08;2
6. 10. 2013 22:23:04;2
6. 10. 2013 20:36:41;3
6. 10. 2013 21:18:25;3
6. 10. 2013 23:40:19;2
7. 10. 2013 0:11:33;2
6. 10. 2013 21:39:39;3
7. 10. 2013 0:41:14;3
6. 10. 2013 17:38:13;1
7. 10. 2013 0:57:10;2
7. 10. 2013 0:51:05;3
7. 10. 2013 1:41:00;3
7. 10. 2013 1:55:54;2
7. 10. 2013 1:57:38;3
7. 10. 2013 3:03:39;2
7. 10. 2013 3:29:48;2
7. 10. 2013 3:57:27;2
6. 10. 2013 17:50:52;1
6. 10. 2013 17:59:30;1
7. 10. 2013 2:11:13;3
7. 10. 2013 4:15:11;3
7. 10. 2013 4:02:26;2
6. 10. 2013 18:39:40;1
7. 10. 2013 4:12:50;2
7. 10. 2013 4:40:55;2
7. 10. 2013 5:19:36;2
7. 10. 2013 5:52:35;2
6. 10. 2013 19:03:58;1
7. 10. 2013 4:29:41;3
7. 10. 2013 6:04:19;2
7. 10. 2013 4:52:53;3
7. 10. 2013 7:05:44;2
7. 10. 2013 5:11:47;3
7. 10. 2013 7:52:18;2
7. 10. 2013 5:34:39;3
6. 10. 2013 19:54:28;1
6. 10. 2013 20:03:52;1
7. 10. 2013 5:43:48;3
6. 10. 2013 20:34:33;1
7. 10. 2013 5:49:20;3
7. 10. 2013 6:33:11;3
6. 10. 2013 21:07:43;1
7. 10. 2013 6:44:11;3
6. 10. 2013 21:49:39;1
6. 10. 2013 21:56:16;1
7. 10. 2013 8:41:03;2
7. 10. 2013 9:20:34;2
7. 10. 2013 9:58:54;2
6. 10. 2013 22:25:05;1
7. 10. 2013 10:04:14;2
7. 10. 2013 10:44:57;2
7. 10. 2013 11:13:17;2
6. 10. 2013 22:49:52;1
6. 10. 2013 22:57:30;1
7. 10. 2013 6:49:39;3
7. 10. 2013 11:28:13;2
6. 10. 2013 23:45:46;1
6. 10. 2013 23:53:54;1
7. 10. 2013 7:15:08;3
7. 10. 2013 0:49:21;1
7. 10. 2013 0:53:02;1
7. 10. 2013 1:00:04;1
7. 10. 2013 1:10:19;1
7. 10. 2013 11:31:58;2
7. 10. 2013 1:31:19;1
7. 10. 2013 11:36:37;2
7. 10. 2013 1:54:37;1
7. 10. 2013 1:57:27;1
7. 10. 2013 2:01:43;1
7. 10. 2013 7:19:35;3
7. 10. 2013 2:39:26;1
7. 10. 2013 7:27:28;3
7. 10. 2013 8:08:25;3
7. 10. 2013 8:37:54;3
7. 10. 2013 9:06:53;3
7. 10. 2013 3:41:37;1
7. 10. 2013 11:53:49;2
7. 10. 2013 4:03:54;1
7. 10. 2013 9:09:20;3
7. 10. 2013 5:21:18;1
7. 10. 2013 5:29:31;1
7. 10. 2013 11:57:53;2
7. 10. 2013 5:48:57;1
7. 10. 2013 9:14:34;3
7. 10. 2013 9:52:10;3
7. 10. 2013 12:14:07;2
7. 10. 2013 10:17:06;3
7. 10. 2013 11:03:12;3
7. 10. 2013 6:27:49;1
7. 10. 2013 6:29:18;1
7. 10. 2013 13:00:35;2
7. 10. 2013 6:41:36;1
7. 10. 2013 11:05:08;3
7. 10. 2013 13:09:41;2
7. 10. 2013 7:23:28;1
7. 10. 2013 11:28:12;3
7. 10. 2013 12:13:09;3
7. 10. 2013 7:57:44;1
7. 10. 2013 8:01:20;1
7. 10. 2013 12:20:10;3
7. 10. 2013 13:23:51;3
7. 10. 2013 13:16:02;2
7. 10. 2013 13:37:33;2
7. 10. 2013 13:41:29;3
7. 10. 2013 11:29:00;1
7. 10. 2013 13:47:36;3
7. 10. 2013 12:08:04;1
7. 10. 2013 13:58:36;3
7. 10. 2013 14:34:20;3
7. 10. 2013 15:13:23;2
7. 10. 2013 14:49:04;3
7. 10. 2013 16:29:28;3
7. 10. 2013 17:01:02;3
7. 10. 2013 13:39:39;1
7. 10. 2013 16:30:44;2
7. 10. 2013 16:50:05;2
7. 10. 2013 17:12:18;2
7. 10. 2013 17:06:55;3
7. 10. 2013 13:51:37;1
7. 10. 2013 17:11:08;3
7. 10. 2013 18:04:51;3
7. 10. 2013 18:27:59;2
7. 10. 2013 18:20:04;3
7. 10. 2013 19:55:41;2
7. 10. 2013 18:33:32;3
7. 10. 2013 20:40:46;2
7. 10. 2013 21:04:51;2
7. 10. 2013 14:39:30;1
7. 10. 2013 14:44:21;1
7. 10. 2013 21:19:47;2
7. 10. 2013 15:01:28;1
7. 10. 2013 15:04:25;1
7. 10. 2013 15:14:00;1
7. 10. 2013 21:28:10;2
7. 10. 2013 22:06:21;2
7. 10. 2013 18:45:52;3
7. 10. 2013 22:55:36;2
7. 10. 2013 15:42:25;1
7. 10. 2013 15:50:47;1
7. 10. 2013 15:53:29;1
7. 10. 2013 23:06:22;2
7. 10. 2013 19:03:56;3
7. 10. 2013 19:32:25;3
8. 10. 2013 0:00:45;2
7. 10. 2013 16:10:31;1
7. 10. 2013 16:17:44;1
7. 10. 2013 16:28:47;1
8. 10. 2013 0:06:57;2
7. 10. 2013 19:58:06;3
7. 10. 2013 21:16:46;3
8. 10. 2013 2:52:29;2
7. 10. 2013 21:33:07;3
8. 10. 2013 3:43:38;2
7. 10. 2013 16:45:30;1
7. 10. 2013 16:50:38;1
7. 10. 2013 17:02:03;1
7. 10. 2013 21:51:39;3
7. 10. 2013 17:32:17;1
7. 10. 2013 21:56:38;3
8. 10. 2013 3:50:59;2
8. 10. 2013 4:13:28;2
7. 10. 2013 22:08:45;3
7. 10. 2013 18:21:57;1
7. 10. 2013 18:25:53;1
8. 10. 2013 5:33:22;2
7. 10. 2013 22:13:14;3
7. 10. 2013 23:02:48;3
8. 10. 2013 6:47:40;2
7. 10. 2013 18:42:24;1
8. 10. 2013 6:56:55;2
8. 10. 2013 7:28:00;2
7. 10. 2013 18:56:15;1
7. 10. 2013 23:26:30;3
7. 10. 2013 20:02:43;1
8. 10. 2013 7:38:43;2
7. 10. 2013 23:30:01;3
8. 10. 2013 9:14:48;2
7. 10. 2013 23:46:48;3
7. 10. 2013 20:23:44;1
7. 10. 2013 20:33:22;1
7. 10. 2013 20:36:46;1
7. 10. 2013 20:43:54;1
7. 10. 2013 23:53:33;3
8. 10. 2013 0:38:48;3
8. 10. 2013 1:20:26;3
8. 10. 2013 10:14:30;2
8. 10. 2013 10:41:45;2
8. 10. 2013 11:07:23;2
7. 10. 2013 21:17:02;1
8. 10. 2013 11:17:38;2
7. 10. 2013 21:41:04;1
8. 10. 2013 11:27:42;2
8. 10. 2013 11:48:12;2
7. 10. 2013 21:56:00;1
8. 10. 2013 11:55:42;2
8. 10. 2013 1:36:37;3
7. 10. 2013 22:20:17;1
8. 10. 2013 12:47:06;2
7. 10. 2013 22:37:18;1
8. 10. 2013 1:46:14;3
8. 10. 2013 12:54:47;2
8. 10. 2013 13:24:43;2
7. 10. 2013 23:22:23;1
8. 10. 2013 13:32:31;2
8. 10. 2013 14:01:29;2
8. 10. 2013 2:01:56;3
8. 10. 2013 14:52:16;2
8. 10. 2013 15:10:31;2
8. 10. 2013 2:13:52;3
8. 10. 2013 17:30:54;2
7. 10. 2013 23:35:11;1
8. 10. 2013 2:35:21;3
8. 10. 2013 0:06:40;1
8. 10. 2013 2:44:12;3
8. 10. 2013 0:36:03;1
8. 10. 2013 2:47:19;3
8. 10. 2013 3:38:02;3
8. 10. 2013 17:46:00;2
8. 10. 2013 1:55:15;1
8. 10. 2013 2:01:09;1
8. 10. 2013 2:04:43;1
8. 10. 2013 3:49:53;3
8. 10. 2013 4:22:12;3
8. 10. 2013 17:52:50;2
8. 10. 2013 2:44:11;1
8. 10. 2013 18:09:34;2
8. 10. 2013 18:28:28;2
8. 10. 2013 4:46:34;3
8. 10. 2013 19:39:39;2
8. 10. 2013 4:59:58;3
8. 10. 2013 21:06:48;2
8. 10. 2013 3:12:53;1
8. 10. 2013 21:11:43;2
8. 10. 2013 5:14:58;3
8. 10. 2013 22:31:30;2
8. 10. 2013 5:32:13;3
8. 10. 2013 23:25:15;2
8. 10. 2013 5:45:20;3
8. 10. 2013 3:30:17;1
8. 10. 2013 3:34:48;1
8. 10. 2013 5:53:01;3
8. 10. 2013 7:00:24;3
9. 10. 2013 0:27:40;2
8. 10. 2013 4:08:12;1
8. 10. 2013 7:15:55;3
8. 10. 2013 8:15:16;3
8. 10. 2013 9:01:30;3
9. 10. 2013 0:39:30;2
8. 10. 2013 9:23:14;3
9. 10. 2013 1:31:53;2
9. 10. 2013 1:50:33;2
8. 10. 2013 4:48:55;1
8. 10. 2013 4:54:03;1
8. 10. 2013 9:44:02;3
8. 10. 2013 7:04:50;1
8. 10. 2013 7:06:41;1
9. 10. 2013 2:08:00;2
8. 10. 2013 9:48:42;3
9. 10. 2013 3:52:38;2
8. 10. 2013 7:25:17;1
9. 10. 2013 4:01:25;2
8. 10. 2013 10:06:44;3
9. 10. 2013 7:16:17;2
9. 10. 2013 7:48:46;2
8. 10. 2013 10:33:20;3
8. 10. 2013 11:22:21;3
8. 10. 2013 7:39:36;1
8. 10. 2013 11:25:48;3
9. 10. 2013 9:21:28;2
8. 10. 2013 11:37:45;3
8. 10. 2013 12:38:34;3
8. 10. 2013 9:15:10;1
8. 10. 2013 12:42:55;3
8. 10. 2013 10:23:59;1
8. 10. 2013 12:53:16;3
8. 10. 2013 10:55:48;1
9. 10. 2013 10:35:49;2
9. 10. 2013 11:13:32;2
9. 10. 2013 11:52:25;2
9. 10. 2013 12:12:21;2
8. 10. 2013 11:20:40;1
8. 10. 2013 11:24:10;1
8. 10. 2013 13:00:44;3
8. 10. 2013 14:05:06;3
9. 10. 2013 12:25:20;2
8. 10. 2013 12:15:34;1
8. 10. 2013 14:17:56;3
9. 10. 2013 12:28:59;2
8. 10. 2013 12:48:28;1
8. 10. 2013 14:45:16;3
8. 10. 2013 16:21:01;3
8. 10. 2013 13:18:17;1
8. 10. 2013 16:29:16;3
8. 10. 2013 17:05:56;3
8. 10. 2013 18:54:46;3
8. 10. 2013 13:49:14;1
9. 10. 2013 12:38:04;2
9. 10. 2013 13:07:00;2
8. 10. 2013 19:05:27;3
8. 10. 2013 19:48:55;3
8. 10. 2013 14:02:20;1
8. 10. 2013 14:06:13;1
8. 10. 2013 19:54:23;3
8. 10. 2013 15:18:33;1
8. 10. 2013 20:03:32;3
8. 10. 2013 16:11:17;1
9. 10. 2013 13:50:51;2
8. 10. 2013 20:14:35;3
9. 10. 2013 14:45:40;2
8. 10. 2013 20:27:13;3
8. 10. 2013 16:32:31;1
8. 10. 2013 16:38:05;1
8. 10. 2013 16:41:31;1
8. 10. 2013 16:50:36;1
9. 10. 2013 16:06:47;2
8. 10. 2013 17:15:54;1
8. 10. 2013 20:36:37;3
8. 10. 2013 21:25:14;3
8. 10. 2013 17:47:43;1
8. 10. 2013 17:56:09;1
8. 10. 2013 21:32:25;3
9. 10. 2013 16:17:02;2
8. 10. 2013 19:04:41;1
8. 10. 2013 21:44:58;3
8. 10. 2013 20:36:11;1
8. 10. 2013 21:48:07;3
8. 10. 2013 21:31:49;1
8. 10. 2013 21:51:17;3
8. 10. 2013 22:01:53;1
9. 10. 2013 16:26:27;2
8. 10. 2013 22:22:42;1
8. 10. 2013 22:25:31;1
8. 10. 2013 22:32:35;1
8. 10. 2013 22:43:53;1
9. 10. 2013 16:37:58;2
8. 10. 2013 23:10:51;1
8. 10. 2013 21:54:33;3
8. 10. 2013 23:43:24;1
8. 10. 2013 23:47:58;1
8. 10. 2013 23:56:39;1
8. 10. 2013 23:59:23;1
9. 10. 2013 0:01:47;1
8. 10. 2013 22:02:15;3
9. 10. 2013 16:47:25;2
8. 10. 2013 22:30:04;3
9. 10. 2013 0:48:48;1
8. 10. 2013 22:35:56;3
9. 10. 2013 18:18:45;2
9. 10. 2013 18:49:01;2
9. 10. 2013 19:07:48;2
9. 10. 2013 2:17:39;1
9. 10. 2013 19:20:14;2
9. 10. 2013 19:45:25;2
9. 10. 2013 20:14:22;2
9. 10. 2013 20:36:00;2
9. 10. 2013 2:39:14;1
8. 10. 2013 22:50:58;3
8. 10. 2013 23:24:50;3
9. 10. 2013 20:48:04;2
9. 10. 2013 21:21:10;2
8. 10. 2013 23:52:01;3
9. 10. 2013 22:06:03;2
9. 10. 2013 3:18:59;1
9. 10. 2013 3:23:18;1
9. 10. 2013 0:14:55;3
9. 10. 2013 4:21:02;1
9. 10. 2013 22:14:11;2
9. 10. 2013 22:39:33;2
9. 10. 2013 23:19:53;2
9. 10. 2013 4:34:59;1
9. 10. 2013 0:21:02;3
9. 10. 2013 0:49:47;3
9. 10. 2013 23:23:23;2
9. 10. 2013 1:09:02;3
9. 10. 2013 2:18:05;3
9. 10. 2013 3:03:13;3
9. 10. 2013 5:18:29;1
9. 10. 2013 5:24:23;1
10. 10. 2013 0:19:58;2
10. 10. 2013 0:46:02;2
10. 10. 2013 1:09:54;2
10. 10. 2013 1:33:34;2
10. 10. 2013 2:05:51;2
9. 10. 2013 3:14:11;3
9. 10. 2013 5:43:50;1
9. 10. 2013 5:55:10;1
9. 10. 2013 6:04:02;1
9. 10. 2013 6:10:15;1
9. 10. 2013 6:13:16;1
9. 10. 2013 6:19:45;1
9. 10. 2013 6:29:27;1
9. 10. 2013 3:20:18;3
9. 10. 2013 4:28:50;3
10. 10. 2013 2:53:26;2
9. 10. 2013 4:53:12;3
9. 10. 2013 7:11:45;1
9. 10. 2013 5:00:38;3
9. 10. 2013 7:47:53;1
9. 10. 2013 7:54:44;1
10. 10. 2013 5:20:11;2
9. 10. 2013 5:10:23;3
10. 10. 2013 6:11:47;2
10. 10. 2013 6:41:52;2
9. 10. 2013 8:23:12;1
9. 10. 2013 5:34:16;3
10. 10. 2013 6:44:53;2
10. 10. 2013 7:06:00;2
9. 10. 2013 5:47:28;3
10. 10. 2013 8:02:45;2
9. 10. 2013 8:58:46;1
9. 10. 2013 6:04:38;3
10. 10. 2013 8:09:31;2
9. 10. 2013 9:46:50;1
10. 10. 2013 8:20:33;2
9. 10. 2013 10:09:05;1
10. 10. 2013 8:34:53;2
9. 10. 2013 6:29:55;3
9. 10. 2013 10:31:05;1
9. 10. 2013 10:41:47;1
9. 10. 2013 10:46:51;1
9. 10. 2013 10:48:41;1
9. 10. 2013 10:55:58;1
10. 10. 2013 9:20:40;2
10. 10. 2013 9:42:42;2
10. 10. 2013 10:06:15;2
9. 10. 2013 6:37:05;3
9. 10. 2013 7:05:32;3
10. 10. 2013 11:09:59;2
10. 10. 2013 11:48:01;2
10. 10. 2013 12:16:56;2
9. 10. 2013 11:14:20;1
10. 10. 2013 12:22:58;2
9. 10. 2013 7:19:18;3
10. 10. 2013 13:40:34;2
9. 10. 2013 11:38:36;1
9. 10. 2013 11:48:45;1
10. 10. 2013 13:50:25;2
9. 10. 2013 12:01:56;1
9. 10. 2013 12:04:39;1
9. 10. 2013 12:15:15;1
9. 10. 2013 7:45:17;3
9. 10. 2013 8:22:38;3
10. 10. 2013 13:53:48;2
10. 10. 2013 14:16:45;2
10. 10. 2013 14:49:11;2
10. 10. 2013 15:27:36;2
9. 10. 2013 8:37:17;3
9. 10. 2013 13:09:51;1
9. 10. 2013 8:44:12;3
9. 10. 2013 10:42:21;3
9. 10. 2013 13:56:41;1
10. 10. 2013 16:12:31;2
9. 10. 2013 14:16:02;1
9. 10. 2013 10:50:41;3
9. 10. 2013 11:29:58;3
9. 10. 2013 15:07:01;1
10. 10. 2013 16:26:58;2
9. 10. 2013 15:20:04;1
9. 10. 2013 15:28:29;1
9. 10. 2013 15:35:09;1
9. 10. 2013 11:35:52;3
9. 10. 2013 12:36:58;3
10. 10. 2013 16:34:15;2
10. 10. 2013 17:07:42;2
9. 10. 2013 12:54:00;3
10. 10. 2013 18:49:10;2
10. 10. 2013 19:10:31;2
9. 10. 2013 16:40:28;1
9. 10. 2013 16:50:12;1
9. 10. 2013 16:53:05;1
10. 10. 2013 19:23:20;2
10. 10. 2013 19:52:41;2
10. 10. 2013 20:22:19;2
10. 10. 2013 20:43:24;2
9. 10. 2013 13:18:01;3
10. 10. 2013 22:43:33;2
9. 10. 2013 13:38:28;3
10. 10. 2013 23:32:07;2
9. 10. 2013 13:52:07;3
9. 10. 2013 14:28:33;3
9. 10. 2013 16:23:22;3
9. 10. 2013 17:24:11;3
11. 10. 2013 0:15:44;2
9. 10. 2013 17:15:45;1
11. 10. 2013 0:28:00;2
9. 10. 2013 17:49:45;3
11. 10. 2013 1:33:44;2
9. 10. 2013 17:40:13;1
9. 10. 2013 17:48:43;1
11. 10. 2013 1:37:46;2
11. 10. 2013 2:05:15;2
9. 10. 2013 18:13:56;3
11. 10. 2013 3:04:40;2
9. 10. 2013 18:26:15;3
9. 10. 2013 19:23:37;3
11. 10. 2013 5:51:49;2
9. 10. 2013 19:37:04;3
9. 10. 2013 20:10:44;3
9. 10. 2013 20:59:17;3
11. 10. 2013 7:14:57;2
11. 10. 2013 7:37:55;2
9. 10. 2013 18:06:50;1
9. 10. 2013 21:15:13;3
9. 10. 2013 18:39:10;1
9. 10. 2013 21:17:13;3
9. 10. 2013 21:55:27;3
9. 10. 2013 22:42:53;3
9. 10. 2013 19:21:08;1
9. 10. 2013 22:45:54;3
9. 10. 2013 20:09:44;1
11. 10. 2013 7:41:30;2
11. 10. 2013 8:09:04;2
11. 10. 2013 8:30:40;2
9. 10. 2013 20:34:34;1
11. 10. 2013 8:35:44;2
11. 10. 2013 9:09:37;2
9. 10. 2013 22:56:48;3
9. 10. 2013 20:49:54;1
9. 10. 2013 23:00:27;3
9. 10. 2013 21:27:29;1
11. 10. 2013 9:58:13;2
9. 10. 2013 21:50:30;1
9. 10. 2013 21:53:06;1
11. 10. 2013 10:14:32;2
11. 10. 2013 10:54:26;2
9. 10. 2013 23:04:21;3
11. 10. 2013 12:55:27;2
9. 10. 2013 23:31:32;3
11. 10. 2013 14:15:55;2
11. 10. 2013 14:35:29;2
9. 10. 2013 23:58:00;3
11. 10. 2013 16:07:34;2
10. 10. 2013 0:11:55;3
11. 10. 2013 17:01:46;2
9. 10. 2013 22:12:14;1
11. 10. 2013 17:11:29;2
9. 10. 2013 22:26:06;1
11. 10. 2013 17:22:12;2
11. 10. 2013 17:43:23;2
9. 10. 2013 22:52:42;1
10. 10. 2013 0:36:04;3
10. 10. 2013 0:06:14;1
10. 10. 2013 0:12:43;1
10. 10. 2013 0:17:58;1
11. 10. 2013 17:55:04;2
11. 10. 2013 18:30:45;2
10. 10. 2013 0:39:01;3
10. 10. 2013 1:10:28;3
10. 10. 2013 1:40:31;3
11. 10. 2013 19:36:50;2
10. 10. 2013 2:03:39;3
10. 10. 2013 0:40:15;1
10. 10. 2013 0:44:36;1
11. 10. 2013 22:09:05;2
11. 10. 2013 22:32:20;2
10. 10. 2013 2:07:15;3
10. 10. 2013 1:05:42;1
11. 10. 2013 23:53:34;2
12. 10. 2013 0:16:49;2
12. 10. 2013 0:53:37;2
10. 10. 2013 2:12:35;3
10. 10. 2013 1:25:59;1
10. 10. 2013 2:16:48;3
12. 10. 2013 2:16:37;2
10. 10. 2013 3:10:49;1
12. 10. 2013 2:20:07;2
10. 10. 2013 2:42:14;3
10. 10. 2013 3:43:15;3
10. 10. 2013 4:17:10;3
10. 10. 2013 4:57:28;3
10. 10. 2013 3:30:14;1
10. 10. 2013 5:03:31;3
10. 10. 2013 4:05:31;1
12. 10. 2013 4:25:56;2
10. 10. 2013 4:26:46;1
10. 10. 2013 5:12:04;3
10. 10. 2013 6:09:16;3
12. 10. 2013 4:42:41;2
10. 10. 2013 5:12:56;1
12. 10. 2013 4:45:48;2
10. 10. 2013 5:35:15;1
10. 10. 2013 5:38:25;1
12. 10. 2013 4:51:19;2
10. 10. 2013 6:27:29;3
10. 10. 2013 5:58:57;1
10. 10. 2013 6:31:36;3
10. 10. 2013 7:13:36;1
10. 10. 2013 6:36:59;3
10. 10. 2013 7:12:45;3
12. 10. 2013 5:43:23;2
10. 10. 2013 8:03:45;1
10. 10. 2013 8:13:54;1
10. 10. 2013 8:24:34;1
10. 10. 2013 7:35:05;3
10. 10. 2013 8:08:11;3
10. 10. 2013 8:57:20;3
10. 10. 2013 9:58:23;3
10. 10. 2013 9:19:23;1
10. 10. 2013 9:28:00;1
10. 10. 2013 10:06:26;3
12. 10. 2013 5:46:27;2
10. 10. 2013 10:22:41;1
12. 10. 2013 5:52:01;2
12. 10. 2013 6:21:00;2
10. 10. 2013 10:46:58;1
10. 10. 2013 10:55:57;1
12. 10. 2013 6:25:20;2
10. 10. 2013 10:32:44;3
10. 10. 2013 11:16:11;1
10. 10. 2013 10:34:52;3
10. 10. 2013 11:30:42;3
10. 10. 2013 12:11:07;1
10. 10. 2013 12:14:22;1
10. 10. 2013 12:18:35;1
10. 10. 2013 12:20:22;1
10. 10. 2013 11:35:33;3
10. 10. 2013 12:51:56;1
12. 10. 2013 7:13:13;2
12. 10. 2013 7:46:21;2
10. 10. 2013 13:10:46;1
10. 10. 2013 11:40:07;3
10. 10. 2013 12:13:50;3
12. 10. 2013 7:58:21;2
12. 10. 2013 8:25:19;2
10. 10. 2013 12:40:10;3
12. 10. 2013 11:44:10;2
10. 10. 2013 12:51:45;3
10. 10. 2013 14:09:37;1
10. 10. 2013 12:57:48;3
10. 10. 2013 13:32:57;3
10. 10. 2013 14:03:42;3
10. 10. 2013 14:36:51;3
12. 10. 2013 13:20:22;2
10. 10. 2013 14:51:27;3
12. 10. 2013 14:23:45;2
12. 10. 2013 15:01:59;2
10. 10. 2013 14:52:31;1
10. 10. 2013 14:54:28;1
10. 10. 2013 15:15:57;3
10. 10. 2013 16:24:01;3
